fighter_name,Height,Weight,Reach,Stance,DOB
Alexander Otsuka,"6' 1""",205 lbs.,,Orthodox,17-Jul-71
Alexander Poppeck,"6' 2""",205 lbs.,,,6-Apr-92
Alexander Romanov,"6' 0""",265 lbs.,,,11-Dec-90
Alexander Sarnavskiy,"5' 11""",155 lbs.,,,17-Jan-89
Alexander Shlemenko,"5' 11""",185 lbs.,,,20-May-84
Alexander Trevino,,170 lbs.,,,
Alexander Volkanovski,"5' 6""",145 lbs.,"71""",Orthodox,29-Sep-88
Alexander Volkov,"6' 7""",250 lbs.,"80""",Orthodox,24-Oct-88
Alexander Yakovlev,"6' 3""",155 lbs.,"74""",Southpaw,18-Jul-84
Alexandra Albu,"5' 2""",115 lbs.,"63""",Orthodox,14-Jul-90
Alexandre Barros,"5' 9""",170 lbs.,,Southpaw,19-Nov-76
Alexandre Dantas,"6' 2""",238 lbs.,,Orthodox,1-Mar-79
Alexandre Ferreira,"5' 7""",205 lbs.,,Orthodox,25-Apr-79
Alexandre Franca Nogueira,"5' 7""",145 lbs.,,Orthodox,15-Jan-78
Alexandre Pantoja,"5' 5""",125 lbs.,"67""",Orthodox,16-Apr-90
Alexandru Lungu,"6' 0""",385 lbs.,,Orthodox,3-Sep-74
Alexis Davis,"5' 6""",125 lbs.,"68""",Orthodox,4-Oct-84
Alexis Dufresne,"5' 9""",135 lbs.,"68""",Orthodox,31-Aug-90
Alfonso Alcarez,"5' 3""",145 lbs.,,,10-Jun-70
Alfred Khashakyan,"5' 8""",135 lbs.,"70""",Orthodox,17-Jul-88
Ali Bagautinov,"5' 4""",125 lbs.,"65""",Orthodox,10-Jun-85
Aliev Makhmud,"5' 6""",195 lbs.,,Southpaw,13-Feb-70
Alistair Overeem,"6' 4""",265 lbs.,"80""",Orthodox,17-May-80
Aljamain Sterling,"5' 7""",135 lbs.,"71""",Orthodox,31-Jul-89
Allan Goes,"6' 0""",205 lbs.,,Orthodox,20-Apr-71
Allan Nascimento,"5' 9""",125 lbs.,,Orthodox,11-Sep-91
Allan Zuniga,"5' 7""",155 lbs.,"70""",Orthodox,4-Apr-92
Allen Berube,"5' 8""",155 lbs.,,Orthodox,25-Aug-74
Allen Crowder,"6' 3""",245 lbs.,"76""",Orthodox,8-Nov-89
Alonzo Martinez,"5' 10""",155 lbs.,,,22-Apr-84
Alonzo Menifield,"6' 0""",205 lbs.,"76""",Orthodox,18-Oct-87
Alptekin Ozkilic,"5' 5""",125 lbs.,"65""",Orthodox,27-Mar-86
Alton Cunningham,"6' 2""",205 lbs.,"77""",Orthodox,24-Jun-93
Alton Meeks,"6' 5""",265 lbs.,"75""",Orthodox,5-Apr-94
Alvaro Herrera,"6' 0""",155 lbs.,"74""",,14-May-90
Alvin Cacdac,"5' 6""",125 lbs.,,Orthodox,
Alvin Robinson,"5' 9""",155 lbs.,"68""",Southpaw,16-Jul-82
Amador Ramirez,,135 lbs.,,,14-Jun-90
Amanda Cooper,"5' 3""",115 lbs.,"64""",Switch,22-Oct-91
Amanda Lemos,"5' 4""",135 lbs.,"65""",Southpaw,22-May-87
Amanda Nunes,"5' 8""",145 lbs.,"69""",Orthodox,30-May-88
Amanda Ribas,"5' 4""",115 lbs.,,,26-Aug-93
Amar Suloev,"5' 9""",183 lbs.,,Orthodox,1-Jul-76
Amaury Bitetti,"5' 9""",185 lbs.,,Orthodox,
Amber Tackett,,115 lbs.,,,
Amilcar Alves,"6' 0""",170 lbs.,,Southpaw,8-Aug-88
Amir Aliakbari,"6' 3""",250 lbs.,,,10-Jun-84
Amir Rahnavardi,"6' 0""",205 lbs.,,Orthodox,7-Dec-74
Amir Sadollah,"5' 10""",170 lbs.,"74""",Orthodox,27-Aug-80
An Ying Wang,"6' 0""",170 lbs.,,Orthodox,4-Apr-91
Anatoly Tokov,"5' 10""",185 lbs.,,,17-Feb-90
Anderson Dos Santos,"5' 5""",135 lbs.,"70""",Orthodox,24-Jul-85
Anderson Silva,"6' 2""",185 lbs.,"77""",Southpaw,14-Apr-75
Andre Amado,"6' 0""",154 lbs.,,Orthodox,
Andre Ewell,"5' 8""",135 lbs.,"75""",Southpaw,21-Jan-88
Andre Fili,"5' 11""",145 lbs.,"74""",Orthodox,25-Jun-90
Andre Galvao,"5' 7""",168 lbs.,,Orthodox,29-Sep-82
Andre Gusmao,"6' 0""",205 lbs.,,Orthodox,19-May-77
Andre Muniz,"6' 2""",185 lbs.,,Southpaw,17-Feb-90
Andre Mussi,"6' 3""",242 lbs.,,Orthodox,
Andre Pederneiras,"5' 8""",155 lbs.,,Orthodox,22-Mar-67
Andre Roberts,"6' 2""",345 lbs.,,Orthodox,24-Feb-65
Andre Santos,"6' 0""",170 lbs.,,,
Andre Soukhamthath,"5' 9""",135 lbs.,"70""",Orthodox,23-Oct-88
Andre Walker,"5' 11""",205 lbs.,,Southpaw,
Andre Winner,"5' 11""",155 lbs.,"73""",Orthodox,9-Nov-81
Andrea Lee,"5' 6""",125 lbs.,"69""",Orthodox,11-Feb-89
Andreas Spang,"6' 1""",185 lbs.,,,7-Nov-78
Andreas Stahl,"5' 11""",170 lbs.,"73""",Orthodox,20-May-88
Andrei Arlovski,"6' 3""",240 lbs.,"77""",Orthodox,4-Feb-79
Andrei Kopylov,"6' 2""",265 lbs.,,Orthodox,16-Jul-65
Andrei Semenov,"6' 0""",185 lbs.,,Orthodox,17-Jun-77
Andrew Craig,"6' 1""",170 lbs.,"76""",Orthodox,15-Jan-86
Andrew Holbrook,"5' 11""",155 lbs.,"70""",Southpaw,6-Feb-86
Andrew Montanez,,185 lbs.,,,
Andrew Ramm,"6' 1""",160 lbs.,,,
Andrew Sanchez,"6' 1""",185 lbs.,"74""",Orthodox,8-Apr-88
Andrew Todhunter,"6' 0""",185 lbs.,"72""",Switch,30-Nov-87
Andrew Valladerez,,135 lbs.,,,
Andrews Nakahara,"6' 1""",185 lbs.,,Orthodox,12-Mar-83
Andrey Koreshkov,"6' 0""",170 lbs.,,,23-Aug-90
Andy Anderson,"5' 6""",240 lbs.,,,16-Jul-74
Andy Enz,"6' 3""",185 lbs.,"78""",Orthodox,15-Aug-91
Andy Murad,"5' 9""",185 lbs.,,,
