fighter_name,Height,Weight,Reach,Stance,DOB
Dave Beneteau,"6' 2""",250 lbs.,,Orthodox,
Dave Berry,,,,,
Dave Cochran,"5' 6""",155 lbs.,,,10-May-73
Dave Courchaine,"5' 8""",170 lbs.,,,
Dave Dalgliesh,"6' 2""",205 lbs.,,Orthodox,5-Apr-78
Dave Galera,"5' 11""",135 lbs.,,Orthodox,12-Jan-78
Dave Herman,"6' 4""",242 lbs.,"76""",Orthodox,3-Oct-84
Dave Jansen,"5' 9""",155 lbs.,"73""",Orthodox,21-Aug-79
Dave Martin,"6' 0""",205 lbs.,,,
Dave Menne,"5' 10""",170 lbs.,,Orthodox,29-Jul-74
Dave Phillips,"6' 0""",185 lbs.,,Orthodox,12-Jan-80
Dave Rickels,"5' 11""",155 lbs.,,,5-Jan-89
Dave Strasser,"5' 10""",170 lbs.,,Orthodox,13-Jul-69
Dave Terrel,"5' 8""",170 lbs.,,Southpaw,10-May-78
Dave Zitanick,,170 lbs.,,,5-Mar-80
Davey Grant,"5' 8""",135 lbs.,"69""",,18-Dec-85
Davi Ramos,"5' 6""",155 lbs.,"70""",Orthodox,5-Nov-86
David Abbott,"6' 0""",265 lbs.,,Switch,
David Avellan,"5' 9""",185 lbs.,,Orthodox,
David Baron,"5' 6""",155 lbs.,,Switch,15-Feb-73
David Barrios,"5' 6""",145 lbs.,,,
David Bielkheden,"5' 10""",155 lbs.,"71""",Orthodox,6-Jun-79
David Blanco,"5' 7""",145 lbs.,,,
David Branch,"6' 1""",185 lbs.,"78""",Orthodox,26-Sep-81
David Dodd,"6' 2""",200 lbs.,,Orthodox,22-Sep-73
David Douglas,"5' 11""",155 lbs.,,,16-Aug-81
David Gardner,"5' 11""",155 lbs.,,Orthodox,17-May-77
David Gomez,,155 lbs.,,,8-Aug-83
David Heath,"5' 11""",205 lbs.,"72""",Orthodox,10-Feb-76
David Hood,"6' 0""",200 lbs.,,,
David Hulett,"5' 10""",170 lbs.,,,7-Sep-80
David Kaplan,"5' 7""",155 lbs.,,Orthodox,16-Nov-79
David Lee,"5' 10""",155 lbs.,,Orthodox,
David Levicki,"6' 5""",275 lbs.,,,
David Loiseau,"6' 0""",185 lbs.,"76""",Orthodox,17-Dec-79
David Marshall,"6' 2""",170 lbs.,,,24-Aug-84
David Michaud,"5' 9""",155 lbs.,"72""",Orthodox,10-Nov-88
David Mitchell,"6' 0""",170 lbs.,"76""",Orthodox,24-Oct-79
David Rasouli,"5' 7""",155 lbs.,,,
David Roberts,"6' 1""",170 lbs.,,Orthodox,15-Nov-75
David Smith,,155 lbs.,,,
David Terrell,"6' 1""",185 lbs.,,Southpaw,9-Jan-78
David Teymur,"5' 9""",155 lbs.,"73""",Southpaw,1-May-89
David Velasquez,"5' 5""",145 lbs.,,Orthodox,
David Zawada,"6' 0""",170 lbs.,"75""",Orthodox,1-Aug-90
Dayana Silva,"5' 7""",135 lbs.,,Orthodox,27-Aug-90
DeAnna Bennett,"5' 4""",125 lbs.,"68""",,18-Nov-84
DeMarco Villalona,"5' 9""",185 lbs.,,,
Dean Hancock,,155 lbs.,,,
Dean Lister,"6' 1""",185 lbs.,"75""",Orthodox,13-Feb-76
Deiveson Figueiredo,"5' 5""",125 lbs.,"68""",Orthodox,18-Dec-87
Deividas Taurosevicius,"5' 9""",145 lbs.,"68""",Southpaw,28-Aug-77
Del Hawkins,"5' 5""",135 lbs.,,Orthodox,
Delson Heleno,"5' 11""",185 lbs.,,Orthodox,16-Nov-77
Demetrious Johnson,"5' 3""",125 lbs.,"66""",Orthodox,13-Aug-86
Demetrius Gioulacos,"5' 11""",185 lbs.,,,
Demian Maia,"6' 1""",170 lbs.,"72""",Southpaw,6-Nov-77
Denis Kang,"5' 11""",185 lbs.,"77""",Orthodox,17-Sep-77
Denis Sobolev,"6' 3""",216 lbs.,,Orthodox,
Denis Stojnic,"6' 0""",245 lbs.,,Orthodox,2-Feb-80
Dennis Bermudez,"5' 6""",155 lbs.,"66""",Orthodox,13-Dec-86
Dennis Bryant,"6' 0""",205 lbs.,"72""",Orthodox,18-Oct-85
Dennis Dombrow,,145 lbs.,,,17-Mar-86
Dennis Hallman,"5' 9""",155 lbs.,"72""",Orthodox,2-Dec-75
Dennis Olson,"6' 0""",170 lbs.,,,
Dennis Reed,,205 lbs.,,Orthodox,
Dennis Siver,"5' 6""",145 lbs.,"70""",Orthodox,13-Jan-79
Derek Anderson,"6' 0""",155 lbs.,,,2-Feb-90
Derek Bohi,"6' 4""",260 lbs.,,,
Derek Brunson,"6' 1""",185 lbs.,"77""",Southpaw,4-Jan-84
Derek Campos,"5' 9""",155 lbs.,,,1-Apr-88
Derek Downey,"6' 1""",185 lbs.,,Orthodox,27-Apr-80
Derek Getzel,"6' 0""",155 lbs.,,,
Deron Winn,"5' 6""",185 lbs.,"70""",Orthodox,13-Jun-89
Derrick Burnsed,,155 lbs.,,,
Derrick Krantz,"5' 10""",170 lbs.,"72""",Orthodox,13-Jan-88
Derrick Lewis,"6' 3""",260 lbs.,"79""",Orthodox,7-Feb-85
Derrick Mehmen,"6' 4""",205 lbs.,,,30-May-85
Derrick Noble,"5' 9""",170 lbs.,,Southpaw,14-Aug-78
Deshaun Johnson,,167 lbs.,,,
Desmond Green,"5' 10""",155 lbs.,"73""",Southpaw,11-Oct-89
Devin Clark,"6' 0""",205 lbs.,"75""",Orthodox,12-Apr-90
Devin Cole,"6' 4""",240 lbs.,,Orthodox,1-Oct-76
Devin Johnson,,,,,
Devin Powell,"6' 0""",155 lbs.,"73""",Orthodox,1-Mar-88
Devonte Smith,"5' 9""",155 lbs.,"76""",Orthodox,30-Jul-93
Dewey Cooper,,205 lbs.,,,
Dhafir Harris,,257 lbs.,,,4-Aug-77
Dhiego Lima,"6' 2""",170 lbs.,"74""",Orthodox,31-Jan-89
Diana Belbita,"5' 7""",135 lbs.,,,
Diego Brandao,"5' 7""",145 lbs.,"68""",Orthodox,27-May-87
Diego Ferreira,"5' 9""",155 lbs.,"74""",Orthodox,18-Jan-85
Diego Henrique da Silva,"6' 2""",185 lbs.,,Orthodox,22-Aug-86
Diego Nunes,"5' 6""",145 lbs.,"67""",Orthodox,30-Nov-82
Diego Rivas,"5' 8""",145 lbs.,"69""",Orthodox,11-Nov-91
Diego Sanchez,"5' 10""",170 lbs.,"72""",Southpaw,31-Dec-81
Diego Saraiva,"5' 6""",155 lbs.,,Orthodox,23-Apr-82
Dieusel Berto,"5' 9""",200 lbs.,,,
Dileno Lopes,"5' 5""",135 lbs.,"65""",,26-Sep-84
Dillon Smith,"6' 0""",170 lbs.,,,
Dimitiri Wanderley,,205 lbs.,,Orthodox,
Din Thomas,"5' 9""",155 lbs.,,Orthodox,28-Sep-76
Dino Pezao,,205 lbs.,,Orthodox,
Dion Staring,"6' 1""",235 lbs.,,Orthodox,9-Jun-78
Dmitri Stepanov,"6' 3""",217 lbs.,,Orthodox,
Dmitrii Smoliakov,"6' 2""",253 lbs.,"74""",Switch,5-Aug-82
Dmitry Poberezhets,"6' 3""",237 lbs.,,,11-Jun-85
Dmitry Sosnovskiy,"6' 3""",240 lbs.,"77""",Orthodox,6-Jul-89
Dokonjonosuke Mishima,"5' 7""",155 lbs.,,Southpaw,19-Apr-72
Dom Pilarte,"6' 0""",135 lbs.,"74""",Southpaw,5-Jan-90
Dominic Brown,"5' 11""",190 lbs.,,,4-Jun-82
Dominic Clark,"5' 10""",155 lbs.,,,1-Aug-85
Dominic Waters,"6' 1""",170 lbs.,"79""",Orthodox,11-Apr-89
Dominick Cruz,"5' 8""",135 lbs.,"68""",Orthodox,9-Mar-85
Dominick Reyes,"6' 4""",205 lbs.,"77""",Southpaw,26-Dec-89
Dominique Steele,"5' 10""",170 lbs.,"74""",Orthodox,27-Jan-88
Don Carlo-Clauss,,170 lbs.,,,
Don Frye,"6' 1""",219 lbs.,,Orthodox,23-Nov-65
Don Madge,"6' 0""",155 lbs.,"72""",Southpaw,12-Nov-90
Don'Tale Mayes,"6' 6""",260 lbs.,"82""",Orthodox,16-Jan-92
Donald Cerrone,"6' 1""",155 lbs.,"73""",Orthodox,29-Mar-83
Donald Sanchez,"5' 10""",145 lbs.,,,18-Aug-84
Donavon Frelow,"5' 7""",135 lbs.,,Orthodox,20-Jan-85
Dong Hyun Kim,"6' 2""",170 lbs.,"76""",Southpaw,17-Nov-81
Dong Hyun Ma,"5' 11""",155 lbs.,"70""",Orthodox,9-Sep-88
Dong Sik Yoon,"6' 0""",185 lbs.,,Orthodox,24-Aug-72
Dongi Yang,"5' 10""",185 lbs.,"71""",Southpaw,7-Dec-84
Donnie Chappell,"5' 11""",178 lbs.,,Southpaw,
Donnie Liles,"5' 9""",170 lbs.,,Orthodox,
Donny Walker,"5' 9""",135 lbs.,,,4-Jan-80
Dooho Choi,"5' 10""",145 lbs.,"70""",Orthodox,10-Apr-91
Dorian Price,"6' 3""",170 lbs.,,Southpaw,20-Aug-77
Dos Caras Jr.,"6' 4""",225 lbs.,,Orthodox,25-May-77
Doug Evans,"5' 9""",155 lbs.,,Orthodox,10-Oct-80
Doug Kay,,,,,
Doug Marshall,"5' 10""",205 lbs.,,Orthodox,9-Sep-75
Douglas Lima,"6' 1""",170 lbs.,,,5-Jan-88
Douglas Silva de Andrade,"5' 7""",135 lbs.,"68""",Orthodox,22-Jun-85
Drakkar Klose,"5' 9""",155 lbs.,"70""",Orthodox,9-Mar-88
Drew Brokenshire,,,,,
Drew Dimanlig,,185 lbs.,,,
Drew Dober,"5' 8""",155 lbs.,"70""",Southpaw,19-Oct-88
Drew Fickett,"5' 10""",155 lbs.,"70""",Orthodox,14-Dec-79
Drew McFedries,"6' 0""",185 lbs.,"72""",Southpaw,27-Jul-78
Drew Pendleton,,145 lbs.,,,8-Dec-83
Duane Ludwig,"5' 10""",170 lbs.,"70""",Orthodox,4-Aug-78
Duda Santana,"5' 7""",145 lbs.,"73""",Orthodox,10-Jan-96
Dustin Hazelett,"6' 1""",170 lbs.,"76""",Orthodox,29-Apr-86
Dustin Jacoby,"6' 4""",185 lbs.,"78""",Orthodox,4-Apr-88
Dustin Kimura,"5' 7""",135 lbs.,"71""",Orthodox,21-May-89
Dustin Moore,"5' 4""",125 lbs.,,,
Dustin Neace,"5' 9""",145 lbs.,,,12-Sep-86
Dustin Ortiz,"5' 5""",125 lbs.,"65""",Orthodox,25-Dec-88
Dustin Pague,"5' 9""",135 lbs.,"74""",Orthodox,5-Aug-87
Dustin Poirier,"5' 9""",155 lbs.,"72""",Southpaw,19-Jan-89
Dustin West,"5' 11""",170 lbs.,,,
Dwayne Cason,"5' 10""",212 lbs.,,Orthodox,
Dwight Grant,"6' 1""",170 lbs.,"76""",Switch,14-Sep-84
Dylan Andrews,"6' 1""",185 lbs.,"73""",Switch,15-Nov-79
Ebenezer Fontes Braga,"6' 0""",199 lbs.,,Orthodox,14-Apr-69
Ed Herman,"6' 1""",205 lbs.,"77""",Orthodox,2-Oct-80
Ed Ratcliff,"5' 10""",155 lbs.,"71""",Orthodox,5-Mar-83
Eddie Alvarez,"5' 9""",155 lbs.,"69""",Orthodox,11-Jan-84
Eddie Gordon,"6' 0""",185 lbs.,"76""",Orthodox,22-Jul-83
Eddie Mendez,"5' 10""",185 lbs.,"76""",,16-Jan-84
Eddie Ruiz,"5' 7""",155 lbs.,,Orthodox,10-Jun-67
Eddie Sanchez,"6' 2""",230 lbs.,"74""",Orthodox,4-Nov-82
Eddie Wineland,"5' 7""",135 lbs.,"69""",Orthodox,26-Jun-84
Eddie Yagin,"5' 7""",145 lbs.,,Orthodox,23-Mar-79
Eddy Ellis,"5' 9""",170 lbs.,,Orthodox,
Eddy Millis,"6' 1""",185 lbs.,,,
Edgar Cardenas,,145 lbs.,,,
Edgar Garcia,"5' 10""",170 lbs.,"71""",Orthodox,22-Feb-84
Edilberto de Oliveira,"6' 0""",170 lbs.,,Orthodox,22-Nov-82
Edmen Shahbazyan,"6' 2""",185 lbs.,,Orthodox,20-Nov-97
Ednaldo Oliveira,"6' 5""",205 lbs.,"79""",Orthodox,19-Feb-84
Edson Barboza,"5' 11""",155 lbs.,"75""",Orthodox,21-Jan-86
Edson Berto,"5' 6""",155 lbs.,,Orthodox,5-Jul-83
Edson Drago,"6' 4""",220 lbs.,,Orthodox,29-Aug-77
Edson Silva,,205 lbs.,,Orthodox,
Eduardo Bustillos,"5' 8""",135 lbs.,,,2-Jun-87
Eduardo Dantas,"5' 10""",135 lbs.,,,3-Feb-89
Eduardo Pamplona,"5' 11""",170 lbs.,,,20-Feb-73
Edward Faaloloto,,155 lbs.,"70""",,15-Jul-84
Edwin Aguilar,"5' 10""",185 lbs.,,,
Edwin DeWees,"6' 1""",185 lbs.,,Orthodox,7-Aug-82
Edwin Figueroa,"5' 7""",135 lbs.,"69""",Orthodox,31-Jul-84
Efrain Escudero,"5' 9""",155 lbs.,"70""",Orthodox,15-Jan-86
Egan Inoue,"5' 9""",190 lbs.,,Southpaw,4-Jul-65
Egidijus Valavicius,"6' 0""",200 lbs.,,Orthodox,
Eiji Ishikawa,"5' 10""",170 lbs.,,,12-Oct-79
Eiji Mitsuoka,"5' 7""",145 lbs.,,Southpaw,1-Jan-76
Elaina Maxwell,"5' 8""",145 lbs.,,Orthodox,16-Dec-78
Eldari Kurtanidze,"5' 6""",235 lbs.,,Orthodox,16-Apr-72
Eldo Xavier Dias,"5' 11""",180 lbs.,,,16-Jul-64
Eli Tamez,"5' 7""",135 lbs.,,,22-Aug-85
Elias Garcia,"5' 5""",125 lbs.,"67""",Southpaw,13-Sep-92
Elias Silverio,"5' 11""",155 lbs.,"73""",Orthodox,22-Sep-86
Elias Theodorou,"6' 1""",185 lbs.,"75""",Orthodox,31-May-88
Elias Urbina,"6' 3""",185 lbs.,"77""",Southpaw,9-Oct-93
Eliot Marshall,"6' 2""",205 lbs.,"77""",Orthodox,7-Jul-80
Elisha Helsper,"5' 6""",135 lbs.,,Orthodox,6-Feb-83
Elizabeth Phillips,"5' 6""",135 lbs.,"65""",Orthodox,20-Aug-86
Elizeu Zaleski dos Santos,"5' 11""",170 lbs.,"73""",Orthodox,11-Dec-86
Elvis Mutapcic,"6' 0""",185 lbs.,"72""",Orthodox,19-Jul-86
Elvis Sinosic,"6' 3""",205 lbs.,"77""",Orthodox,13-Feb-71
Emanuel Newton,"6' 1""",205 lbs.,,,2-Jan-84
Emil Meek,"5' 11""",170 lbs.,"74""",Switch,20-Aug-88
Emiliano Sordi,"6' 2""",205 lbs.,,Orthodox,15-Feb-91
Emilio Chavez,"5' 9""",145 lbs.,,,
Emily Peters Kagan,"5' 3""",115 lbs.,"66""",,14-Jul-81
Emily Whitmire,"5' 5""",115 lbs.,"63""",,24-May-91
Emmanuel Sanchez,"5' 9""",145 lbs.,,,11-Aug-90
Emmanuel Yarborough,"6' 8""",770 lbs.,,Open Stance,5-Sep-60
Enrique Barzola,"5' 7""",145 lbs.,"70""",,28-Apr-89
Enrique Marin,"5' 10""",170 lbs.,"74""",,2-Sep-86
Enrique Watson,,185 lbs.,,,
Enson Inoue,"5' 10""",210 lbs.,,Orthodox,15-Apr-67
Eric Bedard,"6' 2""",239 lbs.,,,11-Sep-84
Eric Castile,"5' 8""",145 lbs.,,,
Eric Esch,"5' 11""",350 lbs.,,Orthodox,3-Aug-68
Eric Galvan,,155 lbs.,,,
Eric Irvin,"5' 8""",155 lbs.,,,10-Jan-86
Eric Jacob,,155 lbs.,,,
Eric Lawson,"6' 0""",185 lbs.,,Orthodox,
Eric Magana,,,,,
Eric Martin,,,,,
Eric Schafer,"6' 3""",185 lbs.,"75""",Orthodox,20-Sep-77
Eric Schambari,"5' 11""",185 lbs.,,Orthodox,22-Apr-78
Eric Schwartz,,205 lbs.,,,
Eric Shelton,"5' 6""",125 lbs.,"68""",Orthodox,2-Feb-91
Eric Smith,,,,Southpaw,
Eric Spicely,"6' 1""",185 lbs.,"73""",Orthodox,29-Sep-86
Eric Steenberg,,155 lbs.,,,22-Jun-83
Eric Wisely,"5' 8""",145 lbs.,,Southpaw,25-Jul-84
Eric Wray,"6' 0""",170 lbs.,,Orthodox,
Erick Montano,"6' 0""",170 lbs.,"73""",Orthodox,19-Nov-85
Erick Sanchez,"5' 10""",145 lbs.,,,4-Oct-90
Erick Silva,"6' 0""",170 lbs.,"74""",Orthodox,21-Jun-84
Erick Wanderlei,"6' 1""",205 lbs.,,Orthodox,
Ericka Almeida,"5' 6""",115 lbs.,"68""",,5-Mar-89
Erik Apple,"6' 0""",170 lbs.,,Orthodox,26-Aug-77
Erik Koch,"5' 10""",155 lbs.,"71""",Southpaw,4-Oct-88
Erik Perez,"5' 8""",135 lbs.,"68""",Orthodox,19-Nov-89
Ernest Chavez,"5' 8""",145 lbs.,"70""",Orthodox,27-Jun-83
Ernie Verdicia,"5' 11""",199 lbs.,,Orthodox,
Errol Zimmerman,"6' 3""",185 lbs.,,Orthodox,20-Apr-86
Eryk Anders,"6' 1""",185 lbs.,"75""",Southpaw,21-Apr-87
Estefani Almeida,"5' 4""",125 lbs.,,Orthodox,17-Oct-88
Estevan Payan,"5' 10""",145 lbs.,"72""",Orthodox,14-Mar-82
Eugene Jackson,"5' 8""",185 lbs.,,Orthodox,23-Sep-66
Eugenio Tadeu,"5' 8""",160 lbs.,,Orthodox,
Eun Soo Lee,"6' 1""",215 lbs.,,Orthodox,7-Mar-82
Evan Dunham,"5' 10""",155 lbs.,"70""",Southpaw,18-Dec-81
Evan Esguerra,,145 lbs.,,,
Evan Tanner,"6' 0""",185 lbs.,"74""",Orthodox,11-Feb-71
Evangelista Santos,"5' 10""",170 lbs.,"76""",Orthodox,12-Dec-77
Everett Cummings,,205 lbs.,,,
Everett Sims,"6' 5""",260 lbs.,"77""",Southpaw,4-Sep-88
Ewerton Teixeira,"6' 1""",242 lbs.,,,13-Feb-82
Fabian Gonzalez,"5' 10""",135 lbs.,,,
Fabiano Iha,"5' 8""",155 lbs.,,Orthodox,28-Jul-70
Fabiano Scherner,"6' 3""",257 lbs.,,Orthodox,30-Jun-72
Fabio Cherant,,205 lbs.,,,25-Nov-94
Fabio Gurgel,"6' 0""",205 lbs.,,Orthodox,
Fabio Maldonado,"6' 1""",205 lbs.,"75""",Orthodox,17-Mar-80
Fabio Mello,"5' 5""",155 lbs.,,Southpaw,
Fabio Nascimento,"5' 10""",185 lbs.,,Orthodox,
Fabio Silva,"5' 11""",205 lbs.,,Orthodox,31-Mar-82
Fabricio Camoes,"5' 10""",155 lbs.,"73""",Orthodox,23-Dec-78
Fabricio Guerreiro,"5' 10""",145 lbs.,,,24-Jul-90
Fabricio Werdum,"6' 4""",231 lbs.,"77""",Orthodox,30-Jul-77
Falaniko Vitale,"5' 10""",185 lbs.,,Orthodox,14-Jul-74
Fazlo Mulabitinovic,,135 lbs.,,,
Federico Lopez,"5' 4""",139 lbs.,,Orthodox,
Fedor Emelianenko,"6' 0""",230 lbs.,"74""",Orthodox,28-Sep-76
Felice Herrig,"5' 4""",115 lbs.,"65""",Orthodox,18-Sep-84
Felicia Spencer,"5' 6""",145 lbs.,"68""",Orthodox,29-Nov-90
Felipe Arantes,"5' 8""",135 lbs.,"73""",Orthodox,9-Feb-88
Felipe Colares,"5' 9""",135 lbs.,"69""",Orthodox,31-Mar-94
Felipe Olivieri,"5' 9""",155 lbs.,"72""",Orthodox,12-Apr-85
Felipe Portela,,170 lbs.,,,23-Nov-87
Felipe Silva,"6' 0""",155 lbs.,"77""",Orthodox,8-May-84
Felix Lee Mitchell,,,,Orthodox,
Fernando Bettega,,170 lbs.,,,10-Mar-80
Fernando Bruno,"5' 6""",145 lbs.,"70""",,24-Feb-82
Fernando Gonzalez,"5' 9""",170 lbs.,"68""",Southpaw,15-Sep-83
Filip Pejic,"5' 8""",135 lbs.,"70""",Orthodox,21-Jul-92
Fiona Muxlow,"5' 4""",145 lbs.,,,13-May-77
Flavio Luiz Moura,"5' 11""",183 lbs.,,Open Stance,
Floyd Sword,"6' 0""",185 lbs.,,Orthodox,24-Aug-76
Forrest Griffin,"6' 3""",205 lbs.,"77""",Orthodox,16-Mar-79
Forrest Petz,"5' 9""",170 lbs.,"71""",Orthodox,22-Sep-75
Francesco Maturi,,,,,
Francimar Barroso,"6' 1""",205 lbs.,"75""",Orthodox,28-Feb-80
Francis Carmont,"6' 3""",205 lbs.,"78""",Orthodox,11-Oct-81
Francis Ngannou,"6' 4""",250 lbs.,"83""",Orthodox,5-Sep-86
Francisco Bueno,"5' 9""",225 lbs.,,Orthodox,
Francisco France,"6' 0""",205 lbs.,,,21-Jan-83
Francisco Rivera,"5' 8""",135 lbs.,"68""",Orthodox,8-Oct-81
Francisco Trevino,"5' 9""",155 lbs.,"70""",Orthodox,17-Dec-81
Francisco Trinaldo,"5' 9""",155 lbs.,"70""",Southpaw,24-Aug-78
Francois Botha,"6' 2""",260 lbs.,,Orthodox,28-Sep-68
Frank Camacho,"5' 10""",170 lbs.,"73""",Orthodox,18-May-89
Frank Caracci,,,,,
Frank Gomez,"5' 10""",135 lbs.,"67""",Orthodox,31-Mar-86
Frank Hamaker,,,,,
Frank Lester,"5' 11""",170 lbs.,,Orthodox,10-Jun-84
Frank Megallon,"5' 10""",185 lbs.,,Southpaw,
Frank Mir,"6' 3""",264 lbs.,"79""",Southpaw,24-May-79
Frank Shamrock,"5' 10""",185 lbs.,,Orthodox,8-Dec-72
Frank Trigg,"5' 9""",170 lbs.,"71""",Southpaw,7-May-72
Frankie Edgar,"5' 6""",145 lbs.,"68""",Orthodox,16-Oct-81
Frankie Perez,"5' 11""",155 lbs.,"73""",Orthodox,11-May-89
Frankie Saenz,"5' 6""",135 lbs.,"66""",Orthodox,12-Aug-80
Fred Ettish,"6' 0""",180 lbs.,,Southpaw,
Frederick Brown,"6' 0""",235 lbs.,,,
Fredson Paixao,"5' 6""",145 lbs.,"66""",Orthodox,13-May-79
Fredy Serrano,"5' 3""",125 lbs.,"65""",Orthodox,22-Sep-79
Gabe Lemley,"5' 8""",155 lbs.,,Orthodox,
Gabe Ruediger,"5' 10""",155 lbs.,,Orthodox,29-Aug-77
Gabriel Benitez,"5' 8""",145 lbs.,"71""",Southpaw,15-Jun-88
Gabriel Carrasco,"5' 6""",135 lbs.,,,
Gabriel Checco,"6' 1""",185 lbs.,,Switch,3-Apr-86
Gabriel Gonzaga,"6' 2""",242 lbs.,"76""",Orthodox,18-May-79
Gabriel Miglioli,"5' 8""",170 lbs.,,,
Gabriel Salinas-Jones,"6' 1""",245 lbs.,,,20-Nov-84
Gabriel Silva,"5' 6""",135 lbs.,,,26-Aug-94
Gabrielle Holloway,"5' 3""",145 lbs.,,,15-Apr-90
Gadzhimurad Antigulov,"5' 11""",205 lbs.,"70""",Orthodox,9-Feb-87
Galore Bofando,"5' 11""",170 lbs.,"72""",Switch,22-May-82
Gan McGee,"6' 10""",265 lbs.,,Orthodox,20-Nov-76
Gareth Joseph,,205 lbs.,,,
Garett Whiteley,"6' 0""",155 lbs.,"72""",Orthodox,13-Dec-80
Garreth McLellan,"6' 1""",185 lbs.,"72""",Southpaw,1-Sep-82
Garrett Gross,"5' 9""",155 lbs.,"69""",Orthodox,8-Aug-88
Garrett Mueller,"5' 9""",135 lbs.,,,29-Jan-89
Gary Frazier,"6' 0""",245 lbs.,,Orthodox,
Gary Goodridge,"6' 3""",249 lbs.,,Orthodox,17-Jan-66
Gary Padilla,"5' 11""",205 lbs.,,,4-May-80
Gary Quan,"5' 8""",143 lbs.,,,11-Apr-71
Gary Tapusoa,"5' 7""",185 lbs.,,,
Gasan Umalatov,"5' 11""",170 lbs.,"71""",Orthodox,11-Sep-82
Gaston Reyno,"6' 0""",145 lbs.,,,11-Nov-86
Gavin Tucker,"5' 6""",145 lbs.,"66""",Southpaw,17-Jun-86
Geane Herrera,"5' 5""",125 lbs.,"66""",Orthodox,27-May-90
Gegard Mousasi,"6' 2""",185 lbs.,"76""",Orthodox,1-Aug-85
Genki Sudo,"5' 9""",155 lbs.,,Orthodox,8-Mar-78
Gennaro Strangis,,,,,
Geoff Neal,"5' 11""",170 lbs.,"75""",Southpaw,28-Aug-90
George Allen,"6' 2""",205 lbs.,,Open Stance,13-Jan-67
George Bush,"6' 1""",205 lbs.,,,
George Pacurariu,"5' 7""",135 lbs.,,,28-Jul-84
George Roop,"6' 1""",135 lbs.,"72""",Orthodox,10-Nov-81
George Sotiropoulos,"5' 10""",155 lbs.,"71""",Orthodox,9-Jul-77
George Stork,"5' 10""",185 lbs.,,,
George Sullivan,"6' 0""",170 lbs.,"73""",Orthodox,13-Mar-81
George Zuniga,"5' 9""",185 lbs.,,,
Georges St-Pierre,"5' 11""",185 lbs.,"76""",Orthodox,19-May-81
Georgi Karakhanyan,"5' 8""",145 lbs.,,,29-May-85
Gerald Harris,"5' 11""",185 lbs.,"77""",Southpaw,19-Nov-79
Gerald Meerschaert,"6' 1""",185 lbs.,"77""",Southpaw,18-Dec-87
Gerald Strebendt,"5' 9""",155 lbs.,,Orthodox,1-Mar-79
Geraldo de Freitas,"5' 9""",135 lbs.,"72""",Orthodox,30-Sep-91
Gerard Gordeau,"6' 5""",216 lbs.,,Orthodox,30-Mar-59
Germaine de Randamie,"5' 9""",135 lbs.,"71""",Orthodox,24-Apr-84
Geronimo dos Santos,"6' 3""",264 lbs.,,Orthodox,17-Aug-80
Gerric Hayes,"5' 10""",,,,
Gerry Harris,"6' 8""",270 lbs.,,Orthodox,
Gesias Cavalcante,"5' 8""",155 lbs.,"71""",Orthodox,6-Jul-83
Geza Kalman,"6' 1""",200 lbs.,,,
Giacomo Lemos,"6' 3""",255 lbs.,,,23-Jun-89
Gian Villante,"6' 3""",205 lbs.,"76""",Orthodox,18-Aug-85
Gideon Ray,"5' 10""",185 lbs.,,Southpaw,27-May-73
Giga Chikadze,"6' 0""",145 lbs.,"72""",Orthodox,25-Aug-88
Gil Castillo,"5' 9""",170 lbs.,,Southpaw,21-Oct-65
Gilbert Aldana,"6' 1""",250 lbs.,,Orthodox,25-Aug-77
Gilbert Burns,"5' 10""",155 lbs.,"71""",Orthodox,20-Jul-86
Gilbert Jimenez,,155 lbs.,,,
Gilbert Melendez,"5' 9""",145 lbs.,"73""",Orthodox,12-Apr-82
Gilbert Rael,"5' 8""",155 lbs.,,,
Gilbert Smith,"5' 9""",185 lbs.,"75""",Southpaw,19-Oct-81
Gilbert Yvel,"6' 2""",225 lbs.,"77""",Orthodox,30-Jun-76
Gilles Arsene,"5' 9""",190 lbs.,,Southpaw,
Gillian Robertson,"5' 5""",125 lbs.,"63""",,17-May-95
Gina Carano,"5' 8""",145 lbs.,,Orthodox,16-Apr-82
Gina Mazany,"5' 6""",135 lbs.,"68""",Southpaw,19-Aug-88
Gisele Moreira,"5' 6""",135 lbs.,,Orthodox,14-Jan-81
Glaico Franca,"6' 0""",155 lbs.,"77""",,28-Feb-91
Gleidson Cutis,"5' 9""",155 lbs.,,Orthodox,7-Feb-89
Gleison Tibau,"5' 10""",155 lbs.,"71""",Southpaw,7-Oct-83
Gleristone Santos,"5' 9""",145 lbs.,,,20-Aug-88
Glover Teixeira,"6' 2""",205 lbs.,"76""",Orthodox,28-Oct-79
Godofredo Pepey,"5' 7""",145 lbs.,"73""",Orthodox,2-Jul-87
Goiti Yamauchi,"5' 10""",145 lbs.,,,5-Jan-93
Gokhan Saki,"6' 0""",205 lbs.,"73""",Orthodox,19-Oct-83
Goldman Butler,,,,,
Goran Reljic,"6' 3""",205 lbs.,"81""",Southpaw,20-Mar-84
Grant Dawson,"5' 10""",145 lbs.,"72""",Switch,20-Feb-94
Gray Maynard,"5' 9""",155 lbs.,"70""",Orthodox,9-May-79
Greg Hardy,"6' 5""",265 lbs.,"80""",Orthodox,28-Jul-88
